dataset-full/test/sci.electronics/16133,sci.electronics,soc.religion.christian
dataset-full/test/talk.politics.guns/17849,talk.politics.guns,sci.space
dataset-full/test/talk.religion.misc/18743,talk.religion.misc,rec.sport.baseball
dataset-full/test/sci.electronics/16238,sci.electronics,comp.windows.x
dataset-full/test/sci.electronics/16168,sci.electronics,sci.electronics
dataset-full/test/comp.os.ms-windows.misc/12124,comp.os.ms-windows.misc,comp.os.ms-windows.misc
dataset-full/test/rec.motorcycles/14750,rec.motorcycles,rec.motorcycles
dataset-full/test/comp.graphics/11872,comp.graphics,comp.sys.ibm.pc.hardware
dataset-full/test/rec.sport.hockey/15373,rec.sport.hockey,rec.sport.baseball
dataset-full/test/rec.motorcycles/14597,rec.motorcycles,rec.motorcycles
dataset-full/test/talk.politics.mideast/17959,talk.politics.mideast,alt.atheism
dataset-full/test/comp.windows.x/13340,comp.windows.x,comp.windows.x
dataset-full/test/comp.windows.x/13503,comp.windows.x,rec.autos
dataset-full/test/comp.sys.mac.hardware/13180,comp.sys.mac.hardware,comp.sys.mac.hardware
dataset-full/test/comp.os.ms-windows.misc/12066,comp.os.ms-windows.misc,comp.os.ms-windows.misc
dataset-full/test/soc.religion.christian/17208,soc.religion.christian,sci.space
dataset-full/test/misc.forsale/13719,misc.forsale,comp.sys.mac.hardware
dataset-full/test/comp.windows.x/13365,comp.windows.x,comp.windows.x
dataset-full/test/talk.politics.mideast/18186,talk.politics.mideast,talk.politics.mideast
dataset-full/test/rec.motorcycles/14495,rec.motorcycles,rec.motorcycles
dataset-full/test/comp.os.ms-windows.misc/12231,comp.os.ms-windows.misc,comp.windows.x
dataset-full/test/misc.forsale/13908,misc.forsale,sci.electronics
dataset-full/test/rec.sport.hockey/15384,rec.sport.hockey,sci.space
dataset-full/test/comp.windows.x/13221,comp.windows.x,comp.sys.mac.hardware
dataset-full/test/rec.sport.hockey/15482,rec.sport.hockey,rec.sport.hockey
dataset-full/test/soc.religion.christian/17375,soc.religion.christian,sci.electronics
dataset-full/test/sci.electronics/16195,sci.electronics,misc.forsale
dataset-full/test/comp.sys.mac.hardware/13029,comp.sys.mac.hardware,misc.forsale
dataset-full/test/talk.politics.mideast/18244,talk.politics.mideast,talk.politics.mideast
dataset-full/test/comp.graphics/11986,comp.graphics,comp.graphics
dataset-full/test/misc.forsale/13614,misc.forsale,comp.sys.ibm.pc.hardware
dataset-full/test/sci.crypt/15686,sci.crypt,sci.crypt
dataset-full/test/soc.religion.christian/17448,soc.religion.christian,soc.religion.christian
dataset-full/test/soc.religion.christian/17384,soc.religion.christian,soc.religion.christian
dataset-full/test/rec.sport.baseball/14855,rec.sport.baseball,rec.sport.hockey
dataset-full/test/talk.religion.misc/18711,talk.religion.misc,comp.graphics
dataset-full/test/comp.sys.ibm.pc.hardware/12434,comp.sys.ibm.pc.hardware,comp.graphics
dataset-full/test/comp.os.ms-windows.misc/12284,comp.os.ms-windows.misc,sci.crypt
dataset-full/test/rec.motorcycles/14444,rec.motorcycles,rec.autos
dataset-full/test/sci.med/16749,sci.med,rec.sport.hockey
dataset-full/test/rec.sport.hockey/15548,rec.sport.hockey,rec.sport.hockey
dataset-full/test/comp.os.ms-windows.misc/12330,comp.os.ms-windows.misc,comp.os.ms-windows.misc
dataset-full/test/rec.sport.hockey/15350,rec.sport.hockey,rec.sport.hockey
dataset-full/test/rec.sport.hockey/15471,rec.sport.hockey,rec.sport.hockey
dataset-full/test/comp.os.ms-windows.misc/12200,comp.os.ms-windows.misc,comp.sys.ibm.pc.hardware
dataset-full/test/comp.graphics/11849,comp.graphics,comp.windows.x
dataset-full/test/rec.motorcycles/14525,rec.motorcycles,rec.motorcycles
dataset-full/test/sci.crypt/15707,sci.crypt,sci.crypt
